Gender,Subject,Task,FileName,Word,Context,Vowel,F1_5,F2_5,F1_15,F2_15,F1_25,F2_25,F1_35,F2_35,F1_45,F2_45,Vowel_Duration,F1_mid
female,f1,p,picture_task_f1_2,dam,e,\ae,615.79,2174.67,724.2,2194.28,754.58,2154.79,791.72,2093.07,905.94,2031.82,149.15,652.29
female,f1,p,picture_task_f1_2,dub,b,\vt,688.97,1901.37,790.18,1783.59,869.17,1770.02,892.14,1716.81,892.6,1638.38,145.28,665.86
female,f1,p,picture_task_f1_2,bad,b,\ae,685.24,1766.5,827.16,2032.68,869.14,2017.24,880.71,1992.32,887.24,2002.76,176.34,858.89
female,f1,p,picture_task_f1_2,budge,b,\vt,596.05,1424.32,689.77,1321.55,701.42,1334.71,735.2,1378.76,748.69,1432.94,142.97,904.89
female,f1,p,picture_task_f1_2,dad,b,\ae,467.32,2098.82,642.28,2101.87,681.01,2079.16,740.92,2140.99,781,2139.9,195.59,668.92
female,f1,p,picture_task_f1_2,bat,e,\ae,636.11,1620.82,714.59,2159.9,799.95,1857.16,847.33,2112.43,873.83,2027.71,169.77,658.95
female,f1,p,picture_task_f1_2,dug,e,\ae,634.04,1919.15,702.64,1987.66,790.2,1896.19,848.48,1792.33,849.42,1746.4,179.33,821.49
female,f1,p,picture_task_f1_2,duck,b,\vt,583.3,1890.98,683.11,1743.86,802.2,1815.33,864.35,1777.88,879,1773.13,147.84,888.85
female,f1,p,picture_task_f1_2,dutch,b,\vt,615.76,1893.24,716.97,1846.11,808.94,1814.72,869.11,1746.12,886.89,1743.73,157.98,912.24
female,f1,p,picture_task_f1_2,dan,b,\ae,499.09,2048.68,606.86,2116.49,691.89,2125.67,756.04,2408.01,881.95,2074.26,157.78,511.14
female,f1,p,picture_task_f1_2,duck,e,\vt,620.64,1917.85,740.2,1806.3,795.23,1787.02,865.81,1706.76,894.93,1669.54,141.87,865.54
female,f1,p,picture_task_f1_2,dash,b,\ae,423.48,2068.38,571.51,2096.19,652.19,2052.97,738.5,2075.51,814.08,2074.38,200.4,857.78
female,f1,p,picture_task_f1_2,dub,e,\vt,622.56,1814.55,703.46,1773.47,738.12,1745.38,769.21,1648.24,832.73,1604.82,130.44,963.95
female,f1,p,picture_task_f1_2,bud,b,\vt,607.27,1359.07,665.8,1187.62,737.61,1256.24,789.84,1407.2,840.93,1502.43,152.17,827.72
female,f1,p,picture_task_f1_2,bud,e,\vt,613.42,1293.92,668.28,1217.44,759.16,1262.47,783.19,1347.68,810.44,1406.77,143.37,805.73
female,f1,p,picture_task_f1_2,bat,b,\ae,618.11,1245.63,707.66,2043.73,792.85,2101.13,841.64,2110.15,878.82,2095.01,169.91,897.34
female,f1,p,picture_task_f1_2,but,e,\vt,541.53,1395.56,640.25,1266.51,695.85,1272.26,777.36,1458.78,848.6,1591.25,131.41,887.04
female,f1,p,picture_task_f1_2,bad,e,\ae,568.77,1867.47,687.97,1553.75,608.13,878.14,815.96,2032.45,813.61,1984.38,215.15,784.67
female,f1,p,picture_task_f1_2,buck,b,\vt,675.34,1309.63,840.03,1208.86,870.77,1287.33,896.9,1629.73,887.25,1563.58,152.33,807.43
female,f1,p,picture_task_f1_2,dug,b,\vt,584.68,1815.85,731.49,1813.85,840.68,1780.5,882.31,1731.73,877.12,1649.84,185.07,801.61
female,f1,p,picture_task_f1_2,dan,e,\ae,579.18,2201.79,741.23,2182.81,826.48,2171.35,886.31,2128.21,918.78,2079.21,175.16,870.93
female,f1,p,picture_task_f1_2,dab,b,\ae,582.81,2043.28,701.57,2101.62,772.1,2037.27,832.37,2125.66,859.54,2087.17,193.81,880.58
female,f1,p,picture_task_f1_2,badge,b,\ae,663.66,1962.76,699.05,2118.35,814.79,2055.55,856.07,1998.86,867.88,2004.44,192.42,822.41
female,f1,p,picture_task_f1_2,dad,e,\ae,588.58,2151.3,685.55,2116.99,716.27,2096.94,805.97,2102.19,820.25,2097,204.51,837.67
female,f1,p,picture_task_f1_2,bag,e,\ae,626.23,1946.09,712.86,1996.58,785.22,2020.23,839.44,2045.08,866.84,2060.43,225.71,830.4
female,f1,p,picture_task_f1_2,dull,e,\vt,701.67,1856.43,826.24,1768.81,863.03,1706.27,852.21,1668.48,847.25,1689.76,238.48,802.43
female,f1,p,picture_task_f1_2,dam,b,\ae,524.58,2127.62,668.78,2200.07,704.47,2191.06,770.71,1608.82,856.94,2185.3,184.46,868.05
female,f1,p,picture_task_f1_2,dull,b,\vt,583.3,1912.65,681.54,1834.96,788.2,1644.41,850.2,1663.7,855.91,1674.15,158.22,844.44
female,f1,p,picture_task_f1_2,dutch,e,\vt,582.5,1890.6,719.18,1813.47,792.56,1688.99,869.37,1713.28,879.64,1754.94,161.17,842.18
female,f1,p,picture_task_f1_2,budge,e,\vt,619.65,1384.05,688.77,1401.46,706.36,1463.35,726.28,1496.91,748.39,1577.15,154.21,840.13
female,f1,p,picture_task_f1_2,dash,e,\ae,508.77,2086.89,636.78,2139.45,708.86,2072.79,738.15,2045.49,824.46,2072.48,177.07,820.67
female,f1,p,picture_task_f1_2,back,e,\ae,592.26,1934.31,683.06,1872.13,729.98,2066.23,837.75,2128.88,892.28,2063.25,176.91,737.7
female,f1,p,picture_task_f1_2,dab,e,\ae,528.11,2061.69,679.55,2106.23,723.5,2037.48,806.52,2030.8,842.77,2052.53,197.42,1006.41
female,f1,p,picture_task_f1_2,badge,e,\ae,576.69,1653.35,705.33,2002.97,817.23,2001.06,873.04,2035.09,883.71,2037.7,194.81,747.87
female,f1,p,picture_task_f1_2,bag,b,\ae,697,1773.18,729.07,2050.92,779.19,2077.07,830.54,2149.26,862.37,2201.7,222.75,910.19
female,f1,p,picture_task_f1_2,back,b,\ae,555.78,1754.7,691.5,2041.42,728.53,1998.24,753.94,1990.02,827.12,1992.33,194.84,908.46
female,f1,p,picture_task_f1_2,but,b,\vt,645.5,1332.71,699.95,1294.03,771.22,1327.36,830.31,1340.25,855.02,1449.08,138.46,854.68
female,f1,p,picture_task_f1_2,buck,e,\vt,747.05,1600.13,815.33,1639.54,870.72,1716.52,879.49,1664.46,872.02,1607.37,124.02,873.6
female,f1,p,picture_task_f1_3,dam,e,\ae,611.31,2290.35,725.04,2208.09,798.43,2022.07,920.02,2086.9,962.72,2036.41,161.36,870.87
female,f1,p,picture_task_f1_3,dub,b,\vt,636.03,1703.84,730.22,1716.77,799.85,1657.35,818.74,1592.08,842.64,1584.57,149.4,816.13
female,f1,p,picture_task_f1_3,bad,b,\ae,722.49,1876.78,780.28,1972.04,857.54,2039.57,862.9,2042.29,865.22,2028.53,185.29,843.89
female,f1,p,picture_task_f1_3,budge,b,\vt,674.46,1231.67,709.08,1358.56,778.1,1502.2,798.46,1536.88,820.21,1637.54,152.64,478.45
female,f1,p,picture_task_f1_3,dad,b,\ae,584.46,2111.87,668.21,2127.93,687.91,2048.29,730.21,2048.41,733.41,2033.6,192.88,887.7
female,f1,p,picture_task_f1_3,bat,e,\ae,690.84,1818.92,794.74,2086.27,872.86,2093.13,872.74,2101.9,858.31,2070.36,211.09,876.02
female,f1,p,picture_task_f1_3,dug,e,\vt,708.4,1850.54,844.48,1852.01,879.52,1850.28,891.02,1718.09,912.71,1664.67,184.8,798.5
female,f1,p,picture_task_f1_3,duck,b,\vt,643.57,1868.56,714.06,1823.45,822.85,1789.69,868,1772.26,866.78,1681.4,161.34,820.58
female,f1,p,picture_task_f1_3,dutch,b,\vt,647.76,1777.84,694.79,1819.01,766.23,1764.28,780.61,1777.8,802.67,1779.48,164.82,857.67
female,f1,p,picture_task_f1_3,dan,b,\ae,572.38,2213.77,691.65,2245.98,800.72,2122.56,875.71,2096.23,890.86,2071.58,164.7,852.49
female,f1,p,picture_task_f1_3,duck,e,\vt,670.29,1872.88,707.53,1847.04,742.29,1796.1,795.85,1778.8,839.4,1716.96,150.5,816.7
female,f1,p,picture_task_f1_3,dash,b,\ae,565.15,2165.45,674.91,2433.99,725.58,2067.6,818.49,2202.87,859.54,2132.27,174.49,858.26
female,f1,p,picture_task_f1_3,dub,e,\vt,575.13,2093.05,660.3,1871.1,686.34,1795.83,729.04,1717.91,781.6,1639.11,146.62,785.41
female,f1,p,picture_task_f1_3,bud,b,\vt,710.48,1354.58,777.86,1344.56,836.91,1364.63,846.03,1329.51,861.84,1338.37,140.31,812.21
female,f1,p,picture_task_f1_3,bud,e,\vt,645.9,1310.97,677.77,1037.07,736.53,1048.79,809.56,927.39,792.88,1498.45,150.8,923.84
female,f1,p,picture_task_f1_3,bat,b,\ae,625.41,862.95,659.88,2141.55,767.62,2166.57,822.38,2196.08,843.88,2141.11,176.49,965.56
female,f1,p,picture_task_f1_3,but,e,\vt,637.09,1245.61,682.02,1346.89,719.1,1476.8,771.42,1526.5,787.28,1575.97,133.83,959.9
female,f1,p,picture_task_f1_3,bad,e,\ae,597.73,1961.4,657.58,2026.23,678.85,2054.07,790.83,2062.46,796.27,2064.38,211.74,981
female,f1,p,picture_task_f1_3,buck,b,\vt,640.27,1256,771.55,1605.18,848.03,1638.07,852.47,1661.8,863.5,1609.85,156.86,959.72
female,f1,p,picture_task_f1_3,dug,b,\vt,636.55,1632,822.73,1811.45,867.38,1738.15,873.85,1703.82,877.22,1643.1,185.53,976.36
female,f1,p,picture_task_f1_3,dan,e,\ae,528.52,2135.01,624.6,2146.57,669.6,1365.67,691.16,1931.03,726.01,2156.88,155.49,943.19
female,f1,p,picture_task_f1_3,dab,b,\ae,563.34,1988.69,649.24,2008.54,673.79,2005.71,780,2008.68,823.01,2019.9,206.06,978.96
female,f1,p,picture_task_f1_3,badge,b,\ae,635.22,1976.52,706.36,2088.9,797.34,2090.05,847.23,2101.74,857.42,2041.6,205,1005.82
female,f1,p,picture_task_f1_3,dad,e,\ae,539.74,2190.08,654.74,2175.89,675.12,2173.29,777.03,2112.91,821.99,2126.52,216.7,964.89
female,f1,p,picture_task_f1_3,bag,e,\ae,647.54,2011.47,695.12,2047.81,811.16,2077.34,869.65,2104.38,879.28,2035.7,206.89,936.74
female,f1,p,picture_task_f1_3,dull,e,\vt,651.19,1858.85,737.48,1796.09,825.33,1800.37,837.92,1726.2,826.52,1694.93,181.98,921.34
female,f1,p,picture_task_f1_3,dam,b,\ae,562.81,2297.24,657.03,2206.09,684.91,2048.23,818.1,2100.02,863.69,2114.74,162.6,972.92
female,f1,p,picture_task_f1_3,dull,b,\vt,632.13,1829.34,719.75,1740.81,811.72,1754.72,836.61,1693.61,839.22,1676.2,172.1,927.67
female,f1,p,picture_task_f1_3,dutch,e,\vt,566.88,1974.49,693.39,1820.24,758.87,1752.24,831.06,1722.09,861.18,1757.93,170.27,921.95
female,f1,p,picture_task_f1_3,budge,e,\vt,661.18,1297.64,723.39,1295.35,782.99,1273.26,821.72,1355.03,818.37,1511.08,185.62,948.69
female,f1,p,picture_task_f1_3,dash,e,\ae,582.01,2067.8,666.1,2053.96,707.56,2041.26,799.38,2084.89,828.51,2123.88,174.87,937.9
female,f1,p,picture_task_f1_3,back,e,\ae,621.16,2007.39,707.9,2052.11,822.72,2121.85,874.45,2165.81,901.71,2158.38,167.17,1003.86
female,f1,p,picture_task_f1_3,dab,e,\ae,620.26,2167.79,679.88,2104.68,754.81,2041.98,818.72,2100.85,837.87,2071.31,185.83,1010.22
female,f1,p,picture_task_f1_3,badge,e,\ae,617.8,2032.87,696.94,2017.9,768.51,2110.01,833.97,2113.35,848.83,2112.58,223.07,993.08
female,f1,p,picture_task_f1_3,bag,b,\ae,631.38,2000.55,690.75,2113.76,773.06,2020.93,820.94,2120.26,834.57,2190.1,224.42,1022.06
female,f1,p,picture_task_f1_3,back,b,\ae,612.12,1704.5,699.62,2069,773.12,2054.41,833.37,1972.29,848.97,1984.62,175.27,1015.41
female,f1,p,picture_task_f1_3,but,b,\vt,663.54,1341.28,750.23,1583.69,811.3,1678.74,813.61,1663.64,835.18,1677.78,127.81,920.55
female,f1,p,picture_task_f1_3,buck,e,\vt,636.97,1393.18,732.65,1396.69,800.53,1378.07,830.38,1388.83,848.82,1419.6,169.59,970.41
female,f1,p,picture_task_f1_4,dam,e,\ae,665.15,2358.71,725.61,2282.06,760.43,2219.52,830.46,2137.01,879.84,2118.84,145.6,935.77
female,f1,p,picture_task_f1_4,dub,b,\vt,611.58,1923.84,700.04,1906.17,768.99,1782.66,827.69,1670.2,839.21,1547.58,152.33,388.73
female,f1,p,picture_task_f1_4,bad,b,\ae,641.7,1943.03,712.33,2045.78,789.21,2042.05,831.7,2160.3,814.77,2106.98,197.02,923.5
female,f1,p,picture_task_f1_4,budge,b,\vt,605.16,1251.46,656.86,1294.03,716.52,1193.07,805.77,1547.27,765.51,1547.83,151.8,911.52
female,f1,p,picture_task_f1_4,dad,b,\ae,624.51,2176.4,687.75,2076.11,755.52,2083.32,807.56,2038,822.67,1991.12,198.76,955.58
female,f1,p,picture_task_f1_4,bat,e,\ae,682.54,1905.76,759.23,2015.88,842.65,2058.4,858.15,2062.47,827.59,2038.4,186.79,879.66
female,f1,p,picture_task_f1_4,dug,e,\vt,613.49,1994.18,659.82,1927.92,716.6,1803.95,712.78,1605.49,694.68,1448.96,196.9,969.31
female,f1,p,picture_task_f1_4,duck,b,\vt,648.14,1830.35,740.9,1839.75,817.05,1834.2,864.13,1764.03,885.39,1648.73,133.99,1027.72
female,f1,p,picture_task_f1_4,dutch,b,\vt,594.88,1780.75,667.38,1767.87,717.75,1769.62,796.27,1763.74,815.02,1769.16,138.15,818.78
female,f1,p,picture_task_f1_4,dan,b,\ae,573.12,2146.44,660.39,2107.38,669.59,2188.67,637.73,1990.16,698.24,2008.2,152.97,849.07
female,f1,p,picture_task_f1_4,duck,e,\vt,629,1840.35,679.93,1833.84,790.69,1859.09,805.65,1760.81,801.92,1694.35,159.35,885.25
female,f1,p,picture_task_f1_4,dash,b,\ae,495.02,2132.94,653.05,2288.63,641.84,2093.28,767.26,2093.33,804.42,2147.34,186.17,844.44
female,f1,p,picture_task_f1_4,dub,e,\vt,583.98,1801.61,668.01,1730.6,679.03,1693.39,698.88,1575.48,761.88,1566.89,178.12,846.13
female,f1,p,picture_task_f1_4,bud,b,\vt,648.33,1469.12,663.65,1465.18,767.59,1561.8,761.94,1655.68,720.12,1730.42,203.42,882.93
female,f1,p,picture_task_f1_4,bud,e,\vt,591,1338.7,581.79,1332.35,660.29,1362.41,620.12,1357.02,607.85,1347.02,209.94,886.54
female,f1,p,picture_task_f1_4,bat,b,\ae,669.65,1901.66,770.73,1925,822.71,2034.5,843.74,2031.2,856.98,1996.76,178.16,860.13
female,f1,p,picture_task_f1_4,but,e,\vt,591.36,1244.7,770.14,1393.12,802.41,1501.43,812.1,1543.97,783.56,1552.55,147.41,888.04
female,f1,p,picture_task_f1_4,bad,e,\ae,585.72,2038.71,684.65,2138.17,753.93,2082.91,766.2,2067.65,766.05,1902.45,230.83,914.99
female,f1,p,picture_task_f1_4,buck,b,\vt,723.71,1542.06,856.2,1613.86,830.32,1525.7,846.23,1495.14,883.21,1479.5,154.65,793.92
female,f1,p,picture_task_f1_4,dug,b,\vt,627.76,1913.64,695.81,1380.64,820.89,1672.09,854.16,1717.6,803.06,1537.12,215.49,909.55
female,f1,p,picture_task_f1_4,dan,e,\ae,682.24,2108.27,755.25,1644.86,850.75,2077.38,822.98,1071.87,621.48,1751.21,283.32,904.43
female,f1,p,picture_task_f1_4,dab,b,\ae,596.18,2012.72,682.12,1998.51,724.65,1928.28,787.81,2050.88,771.05,2016.51,229.83,942.46
female,f1,p,picture_task_f1_4,badge,b,\ae,640.66,2006.64,704.79,1977.47,786.1,2078.23,839.11,2026.49,854.57,2006.99,183.12,905.21
female,f1,p,picture_task_f1_4,dad,e,\ae,579.1,2179.45,674.31,2258.06,683.98,2401.71,734.21,2110.8,760.12,2059.68,183.78,853.29
female,f1,p,picture_task_f1_4,bag,e,\ae,654.02,1865.51,736.3,2006.54,830.28,2051.03,851.86,2048.31,869.16,2061.77,275.32,901.09
female,f1,p,picture_task_f1_4,dull,e,\vt,633.03,1880.67,713.57,1748.83,796.72,1433.59,803.61,1641.38,779.57,1589.08,172.87,961.23
female,f1,p,picture_task_f1_4,dam,b,\ae,627.88,2152.11,724.09,2214.71,813.99,2149.13,837.61,2018.62,872.36,2089.14,156.41,899.69
female,f1,p,picture_task_f1_4,dull,b,\vt,576.93,1833.39,625.75,1685.44,738.87,1711.9,746.41,1686.68,741.74,1687.54,158.61,929.3
female,f1,p,picture_task_f1_4,dutch,e,\vt,610.21,1903.86,709.07,1840.25,778.6,1777.6,780.61,1581.37,792.66,1687.87,163.88,859.53
female,f1,p,picture_task_f1_4,budge,e,\vt,638.33,1237.82,667.86,1142.47,752.9,1135.95,710.83,1335.96,707.95,1666.83,157.56,821.1
female,f1,p,picture_task_f1_4,dash,e,\ae,554.21,2218.2,654,2210.99,672.26,2272.14,744.73,2167.26,798.21,2280.51,162.81,855.87
female,f1,p,picture_task_f1_4,back,e,\ae,639.18,2181.81,697.45,2220.94,802.5,2173.36,878.13,2176.15,896.29,2151.65,201.7,750.6
female,f1,p,picture_task_f1_4,dab,e,\ae,579.56,2239.71,674.46,2026.99,705.22,2040.17,820.85,2006.61,856.87,2081.59,183.98,778.88
female,f1,p,picture_task_f1_4,badge,e,\ae,607.97,2026.82,677.33,1964.96,745.86,2112.78,792.97,1980.25,803.87,2071.19,207.69,778.83
female,f1,p,picture_task_f1_4,bag,b,\ae,544.99,1888.96,674.9,2061.86,702.85,2199.84,756.09,2292.08,824.86,2143.35,214.53,757.66
female,f1,p,picture_task_f1_4,back,b,\ae,488.52,1829.46,649.01,2083.12,704.28,2126.26,831.52,2084.04,870.84,2070.68,235.18,797.78
female,f1,p,picture_task_f1_4,but,b,\vt,630.54,1161.62,782.61,1285.28,847.96,1396.9,820.39,1278.56,817.6,1419.68,190.1,794.46
female,f1,p,picture_task_f1_4,buck,e,\vt,639.62,1202.6,736.1,1271.86,822.97,1343.33,824.17,1346.69,814.18,1321.17,168.32,767.42
female,f1,s,sentence_task_f1_2,dam,e,\ae,618.66,2138.11,682.36,2200,672.54,2107,685.62,2064.23,738.3,2062.26,109.67,785.46
female,f1,s,sentence_task_f1_2,dub,b,\vt,708.7,1791.83,800.06,1754.76,836.44,1720.52,831.62,1651.88,826.68,1584.01,156.02,864.94
female,f1,s,sentence_task_f1_2,bad,b,\ae,717.14,1975.05,819.97,2035.53,874.1,2094.72,861.86,2078.44,815.64,2100.11,207.16,758.79
female,f1,s,sentence_task_f1_2,budge,b,\vt,675,1320.06,746.21,1349.88,847.39,1429.4,879.64,1556.67,865.07,1592.56,164.74,772.37
